suburb,postcode,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4
Abbotsford,3067,,20220627142552.0,,,,,,,20240302162104.0,,,,20250304102144.0,,,
Acheron,3714,,,,,,,,,,20240622224755.0,,,,,,
Airport West,3042,,,,,,,,,,20240623085045.0,,,,,,
Albert Park,3206,,20220630101618.0,,,,,,,,,,,20250317152502.0,20250729215205.0,,
Alfredton,3350,,20220521145158.0,,,,,,,,20240721220014.0,,,,20250625042552.0,,
Allendale,3364,,,,,,,,,,,,,20250319134234.0,,,
Alma,3465,,,,,,,,,,,,,,,20250812100734.0,
Alphington,3078,,,,,,,,,,,,20250113124311.0,,,,
Altona,3018,,,,,,,,,,,,,20250322235621.0,20250613130829.0,20250903191010.0,
Altona North,3025,,20220630041757.0,,,,,,,,,,,,,,
Alvie,3249,,,,,,,,,20240221211014.0,,,,,,,
Apollo Bay,3233,,,,,,,,,,,,20241204095723.0,,,,
Arapiles,3409,,,,,,,,,,,,,,20250716015935.0,,
Ararat,3377,,20220522085626.0,,,,,,,,,,,20250216054904.0,,,
Arcadia,3631,,,,,,,,,20240224233253.0,,,,,,,
Arcadia South,3631,,,,,,,,,20240221052038.0,,,,,,,
Ardeer,3022,,,,,,,,,,,,20250115131419.0,,,,
Armadale,3143,,,20220809174926.0,,,,,,,,20240807004305.0,,20250307003351.0,20250717103901.0,,
Ascot,3551,,,,,,,,,,,,,,20250620215946.0,,
Ashburton,3147,,20220629224827.0,,,,,,,,,,,,,,
Ashwood,3147,,,,,,,,,,,,,,,,
Aspendale,3195,,20220627105607.0,,,,,,,,,,,,,20250819192105.0,
Aspendale Gardens,3195,,,,,,,,,,,,,,,20250822100710.0,
Avenel,3664,,,,,,,,,20240303024937.0,,,,,,,
Avondale Heights,3034,,,,,,,,,,,,,,20250519223559.0,,
Bacchus Marsh,3340,,,20220814120341.0,,,,,,,,,,,,,
Baddaginnie,3670,,,,,,,,,20240221214302.0,,,,,,,
Bairnsdale,3875,,,,,,,,,,,,,20250417205315.0,,,
Bakery Hill,3350,,,,,,,,,,,,,20250207112005.0,,,
Balaclava,3183,,20220517003546.0,,,,,,,,,,,20250418063249.0,,,
Ballan,3342,,20220519141803.0,,,,,,,,,,,,,,
Ballarat Central,3350,,,,,,,,,20240302155446.0,,20240818072035.0,,,,,
Ballarat East,3350,,,,,,,,,,20240617013628.0,,,,20250621054833.0,,
Ballarat North,3350,,20220704211943.0,,,,,,,,,,,,,,
Balliang,3340,,,,,,,,,20240302170816.0,,,,,,20250803160828.0,
Balmoral,3407,,,,,,,,,,,,20250124132828.0,,,,
Balwyn,3103,,20220630093959.0,,,,,,,,,20240806035036.0,,,20250710194638.0,,
Balwyn North,3104,,20220525020129.0,,,,,,,20240306195348.0,,,,20250429185521.0,,,
Bamawm,3561,,,,,,,,,20240224232236.0,,,,,,,
Bamganie,3333,,,,,,,,,,20240722182332.0,,,,,,
Bangholme,3175,,,,,,,,,,20240530224939.0,,,,,20250813233257.0,
Bannockburn,3331,,,,,,,,,,,,20250120184545.0,,,,
Barwon Heads,3227,,20220701203821.0,,,,,,,,,,,,,,
Baxter,3911,,,,,,,,,20240415214724.0,,,,20250323140131.0,,,
Bayles,3981,,,,,,,,,,20240530192646.0,,,,,,
Bayswater,3153,,20220630135656.0,,,,,,,,,,,,20250514083355.0,,
Beaconsfield,3807,,,,,,,,,,,,,20250418093626.0,,,
Beaufort,3373,,,,,,,,20231207192548.0,,,20240918172018.0,,,,,
Beaumaris,3193,,,,,,,,,,,20241015225336.0,,,,20250812100356.0,
Bell Park,3215,,20220702081428.0,,,,,,,,,,,,,,
Bell Post Hill,3215,,,,,,,,,,,,,20250306023929.0,20250505154842.0,,
Bellfield,3081,,,,,,,,,,20240719224504.0,,,,,,
Bellfield,3381,,,,,,,,,,,,,20250322152228.0,,,
Belmont,3216,,,,,,,,,,,20240905191226.0,,,,,
Bena,3946,,,,,,,,,,,20240813150144.0,,,,,
Benalla,3672,,20220525110609.0,,,20230327043706.0,,,,,20240611092734.0,,,20250201120002.0,,,
Bendigo,3550,,20220516053959.0,,,,,,,,,,,20250217052052.0,,,
Bendoc,3888,,,,,,,,,,,,,,20250717160129.0,,
Bentleigh,3204,,,,,,,,,,,,,20250307003411.0,,,
Beremboke,3342,,,,,,,,,,,,,20250424105924.0,,,
Berrybank,3323,,,,,,,,,,,,,,20250716051531.0,,
Berwick,3806,,20220522203525.0,,,,,,,,,,,,,,
Bet Bet,3472,,,,,,,,,,,,,,20250516115922.0,,
Bethanga,3691,,,20220816223008.0,,,,,,,,,,,20250612164304.0,,
Beveridge,3753,,,,,,,,,20240425075530.0,,,,20250212234751.0,,,
Binginwarri,3966,,,,,,,,,,,,20241111072013.0,,,,
Bittern,3918,,,,,,,,,,20240522044658.0,,,,,20250806183426.0,
Black Hill,3350,,,,,,,,,,20240623151655.0,,,,20250717194335.0,,
Black Rock,3193,,,,,,,,,,,20240805010754.0,,,,20250909103336.0,
Blackburn,3130,,20220625073534.0,,,,,,,,,,,20250215163041.0,,,
Blackburn South,3130,,,,,,,,,,,,,20250208104444.0,,,
Blairgowrie,3942,,,,,,,,,,,,,20250212200817.0,,,
Blampied,3364,,,,,,,,,,,,,20250319130927.0,,,
Bobinawarrah,3678,,,,,,,,,,,,,,20250621054242.0,,
Boisdale,3860,,,,,,,,,20240226111356.0,,,,,,,
Bonang,3888,,,,,,,,,,,,,,20250513013221.0,,
Bonbeach,3196,,,,,,,,,,20240623221849.0,,,,,20250813233911.0,
Bonshaw,3352,,,,,,,,,,,,,,,,
Bookaar,3260,,,,,,,,,,,,20250125094347.0,,,,
Boolarra South,3870,,,,,,,,,,,,,20250427140846.0,,,
Boole Poole,3880,,,,,,,,,,,,,20250428033305.0,,,
Boorcan,3265,,,,,,,,,,,20241009025037.0,,,20250624124836.0,,
Bornes Hill,3379,,,,,,,,,,,,,20250212005928.0,,,
Boronia,3155,,20220706110211.0,,,,,,,,,20240917095403.0,,,,20250812032258.0,
Bostocks Creek,3260,,,,,,,,,,,20240805000807.0,,,,,
Botanic Ridge,3977,,,,,,,,,,20240620194337.0,,,,20250516150903.0,,
Bowenvale,3465,,,,,,,,,,,,,,20250711060413.0,,
Bowser,3678,,,,,,,,,,,,,,20250517163518.0,,
Box Hill,3128,,,,,,,,,,,,20250121131509.0,20250424033623.0,,,
Box Hill North,3129,,20220625041236.0,,,,,,,,,,,20250214235259.0,,,
Box Hill South,3128,,,,,,,,,,20240716030640.0,,,,20250619080800.0,,
Braeside,3195,,,,,,,,,,20240617002649.0,,,,,20250822120320.0,
Brandy Creek,3821,,,,,,,,,,,20240808041855.0,,,,,
Braybrook,3019,,,,,,,,,,,,,,,,
Briar Hill,3088,,,20220809173652.0,,,,,,,,,,,,,
Bright,3741,,,,,,,,,,,,20250126052653.0,,,,
Brighton,3186,,,,,,,,,20240301052425.0,,,,20250220123826.0,,,
Brimboal,3312,,,,,,,,,,,,,20250429153705.0,,,
Brimpaen,3401,,,,,,,,,,,,,20250327061318.0,,,
Broadford,3658,,,,,,,,,,,20240911075107.0,,,20250715052147.0,,
Broadmeadows,3047,,,20220807164815.0,,,,,,,,,20250114003830.0,20250413172636.0,,,
Brookfield,3338,,,,,,,,,,,20240812104405.0,,,,,
Brown Hill,3350,,20220520233152.0,,,,,,,,20240522234926.0,,,,20250512092455.0,,
Brunswick,3056,,20220522203458.0,,,,,,,,,,,,,20250828030213.0,
Brunswick East,3057,,20220522054028.0,,,20230323040704.0,,,,,,,,20250201114122.0,20250517093622.0,,
Brunswick North,3056,,,,,,,,,,,,,,20250709061142.0,,
Brunswick West,3055,,,,,,,,,,,,,,,20250817020713.0,
Buckland,3740,,,,,,,,,,,,,,20250522171900.0,,
Buffalo,3958,,,,,,,,,,,,,20250207123150.0,20250522155555.0,,
Bullaharre,3266,,,,,,,,,,,20240917184534.0,,,,,
Bulleen,3105,,,,,,,,,,,,,,,,
Bullioh,3700,,,,,,,,,,,,,,20250622154910.0,,
Bundoora,3083,,20220519122944.0,,,,,,,,,,,,,20250905031906.0,
Bunyip,3815,,,,,,,,,,20240724060535.0,,,20250422062909.0,,,
Burnley,3121,,20220519213404.0,,,,,,,20240422030434.0,,,,20250419210246.0,20250523044739.0,,
Burramboot,3559,,,,,,,,,,,,,,20250703130031.0,,
Burwood,3125,,,,,,,,20231211003234.0,,,,,20250322064910.0,20250515165153.0,,
Burwood East,3151,,20220625225910.0,,,,,,,,,,20241208062700.0,,,,
Byaduk North,3300,,,,,,,,,,,,,,,20250820203708.0,
Byawatha,3678,,,,,,,,,,,20240920001458.0,,,,,
Cairnlea,3023,,,,,,,,,,,20240812102355.0,,,20250616072523.0,20250807100249.0,
California Gully,3556,,20220524195012.0,,,,,,,,,,,,,,
Camberwell,3124,,,,,,,,,20240424065552.0,,,,20250218171428.0,,,
Camberwell East,3126,,,,,,,,,,20240622054728.0,,,,20250713081829.0,,
Cambrian Hill,3352,,,,,,,,,,20240525172148.0,,,20250422094139.0,,,
Campbellfield,3061,,20220628155357.0,,,,,,,,,,20241217075822.0,20250325031347.0,,20250807171131.0,
Campbelltown,3364,,,,,,,,,,,,,20250327062958.0,,,
Camperdown,3260,,,,,,,,,,,,,,,,
Caniambo,3630,,,,,,,,,,,20240909174111.0,,,,,
Cannons Creek,3977,,,,,,,,,,,20240803200956.0,,,,,
Carboor,3678,,,,,,,,,,,,,,20250621054419.0,,
Carlton,3053,,,,,,,,,,,,20241206144308.0,,20250725082202.0,20250806112656.0,
Carlton North,3054,,20220527132123.0,,,,,,,,,,,,,20250804213706.0,
Carnegie,3163,,,,,,,,,,20240725164139.0,,20241118141706.0,20250201121242.0,20250517095703.0,,
Caroline Springs,3023,,20220522175458.0,,,,,,,,,,20241101194720.0,,,,
Carpendeit,3260,,,,,,,,,,,,,20250423024149.0,,,
Carrum Downs,3201,,,,,,,,,,,,20241208042357.0,,,,
Carwarp,3494,,,,,,,,,,,,,,20250621054248.0,,
Castle Creek,3691,,,,,,,,,,,20240803193420.0,,,,,
Castlemaine,3450,,,,,,,,,,20240622185956.0,,,,20250613170031.0,,
Caulfield,3162,,,,,,,,,,,,,,20250702125211.0,,
Caulfield East,3145,,,,,,,,,,20240724092021.0,,,,,20250815033635.0,
Caulfield North,3161,,,,,,,,,,,,20250118041619.0,20250328150902.0,,,
Caulfield South,3162,,,,,,,,,,,20241012055546.0,,,,,
Cavendish,3314,,,,,,,,,,,,20250119093743.0,,,,
Chadstone,3148,,,,,,,,,,,,,,20250521172402.0,,
Chelsea,3196,,,,,,,,,,,,,20250418121736.0,,,
Chelsea Heights,3196,,,,,,,,,20240412232248.0,,,,,20250709153202.0,,
Cheltenham,3192,,20220519130209.0,,,,,,,,,20241015134033.0,20250121035713.0,20250304102016.0,,,
Churchill,3842,,,,,,,,,20240221025706.0,,,,,,,
Clarkefield,3430,,,,,,,,,,20240622155339.0,,,,20250619163556.0,,
Clayton,3168,,,20220816002542.0,,,,,,20240412233011.0,,,,20250208172445.0,20250506070518.0,,
Clayton South,3169,,20220702012142.0,,,,,,,,,,20241114034932.0,,,,
Clear Lake,3409,,,,,,,,,,,,,20250316093057.0,,,
Clifton Hill,3068,,,,,,,,,,,,20250117175809.0,20250220121047.0,,,
Clover Flat,3315,,,,,,,,,,,,20241202180118.0,,,,
Clyde North,3978,,20220626011920.0,,,,,,,,,,,20250212225708.0,20250703131012.0,,
Cobden,3266,,,,,,,,,,,20240809131046.0,,,,20250815131637.0,
Cobram,3644,,,,,,,,,,20240518220755.0,,,,20250523073327.0,,
Cobrico,3266,,,,,,,,,,,20240910065559.0,,,,,
Coburg,3058,,,20220815070306.0,,,,,,,,,,,,20250818013201.0,
Coburg North,3058,,,,,,,,,,20240617232614.0,,,20250429031816.0,20250719000312.0,,
Cockatoo,3781,,20220627154526.0,,,,,,,,,,,,,,
Colac,3250,,,20220816072319.0,,,,,,,,,,,,,
Colac East,3250,,,,,,,,,,,,,20250211235838.0,,,
Colignan,3494,,,,,,,,,20240222173321.0,,,,20250421014939.0,,,
Collingwood,3066,,20220703152248.0,,,,,,,,,,,,20250620002503.0,,
Collingwood North,3066,,,,,,,,,,20240714010536.0,,,,,,
Coongulla,3860,,,,,,,,,20240222163755.0,,,,,,,
Cooriemungle,3268,,,,,,,,,,,,20241114120727.0,,,,
Corinella,3984,,,,,,,,,,20240521042100.0,,,,,20250808053703.0,
Coronet Bay,3984,,,,,,,,,,,,,,20250616165506.0,,
Cowes,3922,,,,,,,,,,,20240813114648.0,,,,,
Craigie,3465,,,,,,,,,,,,,,20250715044041.0,,
Craigieburn,3064,,20220524155159.0,,,,,,,,,,,,,,
Cranbourne,3977,,20220702140822.0,,,,,,,,,20240812164655.0,,,20250621205627.0,,
Cranbourne South,3977,,,,,,,,,,20240528072254.0,,,,20250715080119.0,,
Cranbourne West,3977,,20220626021222.0,,,,,,,20240222043039.0,,,,,20250515095414.0,,
Cremorne,3121,,20220526205646.0,,,,,,,20240222075924.0,,,,20250321013346.0,20250502231349.0,,
Crowlands,3377,,,,,,,,,,,,,,20250513193803.0,,
Croydon,3136,,,,,,,,,,20240616143629.0,,,,20250523232216.0,,
Croydon North,3136,,,,,,,,,,,20240910133238.0,,,,20250813002723.0,
Cudgee,3265,,,,,,,,,,,,20250125121224.0,,,,
Daisy Hill,3465,,,,,,,,,,,20241014072000.0,,,,,
Dandenong,3175,,,,,,,,,,,20241009073252.0,20241215230345.0,20250306003441.0,,,
Dandenong North,3175,,20220705001052.0,,,,,,,20240303021256.0,,,,,20250623190343.0,,
Dandenong South,3175,,20220628220730.0,,,,,,,,20240620001119.0,,,,20250718114053.0,,
Darley,3340,,20220702205526.0,,,,,,,,,,,,,,
Darlington,3271,,,,,,,,,,,,,20250206185401.0,,,
Daylesford,3460,,20220703050148.0,,,,20230524131426.0,,,,,,,,,,
Deddick Valley,3888,,,,,,,,,,,,,,20250710171924.0,,
Dederang,3691,,,,,,,,,,,,,,20250710114602.0,,
Deer Park,3023,,,20220814034103.0,,,,,,,20240612183737.0,,20241218192224.0,,20250714033551.0,,
Delacombe,3356,,,20220818083326.0,,,,,,20240301152329.0,,,,,20250519091048.0,,
Delahey,3037,,,,,,,,,,,,20241202181743.0,,,,
Dennington,3280,,,,,,,,,,,,20250124223433.0,,,,
Derrinallum,3325,,,,,,,,,,,,,20250321044853.0,,,
Diamond Creek,3089,,20220523121914.0,,,,,,,,,,,,20250523092309.0,,
Diggers Rest,3427,,20220520043154.0,,,,,,,,,,,,,,
Dimboola,3414,,,,,,,,,,,,20250116185200.0,,,,
Dingley Village,3172,,,,,,,,,,,,20241219090417.0,,,,
Dockers Plains,3678,,,,,,,,,,,,,,20250709102958.0,,
Docklands,3008,,,,,,,,,20240424195122.0,,,,,20250622001833.0,,
Dollar,3871,,,,,,,,,,,,,,20250512083134.0,,
Doncaster,3108,,,,,,,,,,,,,20250318210247.0,,,
Doncaster East,3109,,20220516113816.0,,,,,,,,,20240907170743.0,,,20250613165622.0,,
Donvale,3111,,20220522151045.0,,,,,,,,,,,,,,
Doreen,3754,,,,,,,,,,,,,20250201115709.0,,20250901012218.0,
Doveton,3177,,20220528172328.0,,,,,,,,,,,,,,
Drouin East,3818,,,,,,,,,,,,,20250419053141.0,,,
Drysdale,3222,,,,,,,,,,,20240804104922.0,,,,,
Duchembegarra,3409,,,,,,,,,,20240524143002.0,,,,,20250804105409.0,
Dumbalk,3956,,,,,,,,,,,,,20250321081016.0,,,
Dunach,3371,,,,,,,,,,,,,,20250513005019.0,,
Dunkeld,3294,,,,,,,,,,,,,20250212173725.0,,,
Eagle Point,3878,,,,,,,,,,,,,20250427171153.0,,,
Earlston,3669,,,,,,,,,20240226112910.0,,,,20250208172810.0,,,
East Bendigo,3550,,20220527130139.0,,,,,,,,,,,,,,
East Melbourne,3002,,20220630101734.0,,,,,,,,,20241009042558.0,,20250419121556.0,,,
Echuca,3564,,,20220819170434.0,,,,,,,,,,,,,
Echuca Village,3564,,,,,,,,,,,,,20250320183101.0,,,
Ecklin South,3265,,,,,,,,,,20240617015747.0,,,,,,
Edi,3678,,,,,,,,,,,,,,20250514114017.0,,
Edi Upper,3678,,,,,,,,,,,,,,20250711053411.0,,
Edithvale,3196,,,,,,,,,20240302074801.0,,,,,20250622130438.0,20250821041435.0,
Elingamite North,3266,,,,,,,,,,,20240815183103.0,,,,,
Elsternwick,3185,,20220516052743.0,,,,,,,,,,,,20250616103518.0,20250908224003.0,
Eltham,3095,,20220522104524.0,,,,,,,,,,,,,,
Elwood,3184,,20220703152649.0,,,,,,,,,,,,20250724053752.0,20250909234819.0,
Emerald,3782,,,,,,,,,20240224224624.0,,,,20250328161519.0,,,
Endeavour Hills,3802,,,,,,,,,,,,20250125104419.0,,,,
Epping,3076,,20220522180049.0,,,,,,,,,,,20250211184230.0,,,
Essendon,3040,,20220624220057.0,,,,,,,20240424150405.0,,,20250115222926.0,20250324223540.0,,,
Eumemmerring,3177,,20220625112030.0,,,,,,,,,,20250116154714.0,,,,
Eynesbury,3338,,,,,,,,,,,,,20250326180837.0,,,
Fairfield,3078,,,,,,,,,,,20240812165250.0,,,20250711094557.0,,
Fawkner,3060,,,,,,,,,,,,,20250315215705.0,,,
Ferntree Gully,3156,,20220628183804.0,,,,,,,,,,,,20250520225443.0,,
Fitzroy,3065,,20220628183654.0,,,,,,,20240221150542.0,,,20241229013113.0,20250428154432.0,20250707010516.0,,
Flemington,3031,,,,,,,,,,,20240803132515.0,,,,,
Flinders,3929,,,,,,,,,,,,,20250216223147.0,,,
Flora Hill,3550,,20220629152415.0,,,,,,,,,,,,,,
Flowerdale,3717,,,,,,,,,,,,,,20250713023758.0,,
Footscray,3011,20220418045210.0,20220628205810.0,,,,,,,,,20240826020056.0,20241213211001.0,,,20250812130350.0,
Forest Hill,3131,,20220522205241.0,,,,,,20231203110317.0,,,,,20250315215223.0,,,
Foster,3960,,20220524155939.0,,,,,,,,,,,,,,
Frankston,3199,,,20220814130930.0,,,20230525031321.0,,,20240228164352.0,,,,20250327203247.0,,,
Frankston North,3200,,,,,,,,,,20240525115512.0,,,,20250612133551.0,,
Freeburgh,3741,,,,,,,,,,,,,,20250616104057.0,,
French Island,3921,,,,,,,,,,,,,,20250516180039.0,,
Gatum,3407,,,,,,,,,,,,20241213025010.0,,,,
Geelong,3220,,,20220816011437.0,,,,,,,,,,20250201115823.0,20250706041633.0,,
Geelong West,3218,,,,,,,,,,,,,20250327225312.0,20250706041634.0,,
Gerang Gerung,3418,,,,,,,,,,,,,,,20250814151721.0,
Germantown,3741,,,,,,,,,,,,,20250317174946.0,,,
Gisborne,3437,,,,,,,,,,,,,,,20250824155635.0,
Gisborne South,3437,,,,,,,,,,,20240803193450.0,,20250322190534.0,,,
Glen Alvie,3979,,,,,,,,,,20240525171204.0,,,20250215224533.0,,,
Glen Huntly,3163,,,,,,,,,20240226185252.0,,,20241203002535.0,,,,
Glen Iris,3146,,20220629221233.0,,,,,,,,,,,20250201115610.0,20250515080124.0,20250905203059.0,
Glen Waverley,3150,,,20220810111717.0,,,,,,20240423142235.0,,,,20250325091345.0,,,
Glenalbyn,3517,,,,,,,,,,,,,20250425213803.0,,,
Glendonald,3364,,,,,,,,,,,,,,20250522151801.0,,
Glenfyne,3266,,,,,,,,,,,20240812163754.0,,,,,
Glengarry,3854,,,,,,,,,,,,,,20250625055446.0,,
Glenormiston North,3265,,,,,,,,,,,,20250119105413.0,,,,
Glenormiston South,3265,,,,,,,,,,,,20250125022509.0,,,,
Glenroy,3046,,20220520193551.0,,,,,,,,,,,,,20250810032242.0,
Glenthompson,3293,,,,,,,,,,,,,20250417214241.0,,,
Goongerah,3888,,,,,,,,,,,,,,20250711221537.0,,
Grampians,3314,,,,,,,,,,,,20241213112711.0,,,,
Grass Flat,3409,,,,,,,,,,20240519015129.0,,,20250428192301.0,,,
Greensborough,3088,,20220628000031.0,,,,,,,,,,,,,,
Greenvale,3059,,,,,,,,,,,,20250116043634.0,,,,
Greta West,3675,20220129105029.0,,,,,,,,,,,,,,,
Gringegalgona,3315,,,,,,,,,,,,20250120234820.0,,,,
Gruyere,3770,,,,,,,,,20240227213202.0,,,,,,,
Gunbower,3566,,,,,,,,,,20240618034214.0,,,,,,
Hallora,3818,,,,,,,,,,,20241006132216.0,,,,,
Hamilton,3300,,20220519123636.0,,,,,,,,,,20250118011932.0,,,20250903104937.0,
Hampton,3188,,20220528125414.0,,,,,,,,,,,,,,
Hampton East,3188,,20220629225903.0,,,,,,,,,,20241208223405.0,,,,
Hampton Park,3976,,,,,,,,,,20240527215755.0,,,20250423175247.0,,,
Harrietville,3741,,,,,,,,,,,,,,,20250808040343.0,
Hartwell,3124,,,,,,,,,,,,,20250424174219.0,,,
Hastings,3915,,20220521231215.0,,,,,,,,,20240807060732.0,,,20250715051004.0,,
Hattah,3501,,,,,,,,,,,,,,20250713015040.0,,
Hawksburn,3142,,,,,,,,,,20240718232533.0,,,,,,
Hawthorn,3122,,20220627204304.0,,,,,,,20240420193844.0,,,20241126032913.0,20250325031818.0,20250713021918.0,,
Hawthorn East,3123,,20220516174736.0,,,,,,,,,,20250122065600.0,,,,
Healesville,3777,,,,,,,,20231209121705.0,,,,20250116222743.0,,,,
Heathcote,3523,,,,,,,,,,,,,20250215065015.0,,,
Heathmont,3135,,,,,,,,,,,20240917063602.0,,,,,
Heidelberg,3084,,,,,,,,,20240301051841.0,,,,20250419123423.0,,,
Heidelberg Heights,3081,,20220528040919.0,,,,,,,,,,,,,,
Heidelberg West,3081,,20220527020805.0,,,,,,,,,20240810191715.0,,,,20250811194815.0,
Hensley Park,3301,,,,,,,,,,,,,20250317173003.0,,,
Hepburn,3461,,,,,,,,,,,,20241112005152.0,,,20250830155342.0,
Highett,3190,,20220630005706.0,,,,,,,,,,20250126013820.0,,,,
Highton,3216,,20220529124710.0,,,,,,,,,,,,,,
Hillside,3037,,,,,,,,,,20240613103716.0,,,,20250516021954.0,,
Hoppers Crossing,3029,,,,,,,,,,,20241005024923.0,,20250201114630.0,,,
Horsham,3400,,,,,,,,,,,,20241224215310.0,20250201115321.0,,,
Hughesdale,3166,,,,,,,,,20240221025419.0,,,20241204213124.0,,,,
Hunterston,3971,,,,,,,,,20240226001452.0,,,,,,,
Huntingdale,3166,,,,,,,,,,20240527101943.0,,,,20250622130046.0,,
Hurstbridge,3099,,,,,,,,,,,,,,,20250830153319.0,
Indigo Valley,3688,,,,,,,,,20240301052657.0,,,,,,,
Iraak,3494,,,,,,,,,,,,20241204061750.0,,,,
Ironbark,3550,,,20220814035011.0,,,,,,,,,,,,,
Ivanhoe,3079,,,20220808134110.0,,,,,,20240413001547.0,,,,20250426190419.0,20250711063442.0,,
Jan Juc,3228,,20220525103649.0,,,,,,,,,,,,,,
Jancourt,3266,,,,,,,,,,,20240813145517.0,,,,,
Jancourt East,3266,,,,,,,,,20240228183215.0,,,,20250426172649.0,,,
Jarvis Creek,3700,,,,,,,,,,,,,,20250516151026.0,,
Jumbunna,3951,,,,,,,,,,,20240806211022.0,,,,,
Kallista,3791,,,,,,,,,,,,,,20250522171312.0,,
Kancoona,3691,,,,,,,,,,,,,20250428211352.0,,,
Kariah,3260,,,,,,,,,,,20240813152714.0,,,,,
Karramomus,3631,,,,,,,,,,20240522091538.0,,,,,,
Keilor Downs,3038,,20220630011816.0,,,,,,,,,,,,,,
Keilor East,3033,,,,,,,,,,,,,20250201115733.0,,,
Keilor Lodge,3038,,20220528104733.0,,,,,,,,,,,,,,
Keilor Park,3042,,,20220811123903.0,,,,,,,,,,,,,
Kennington,3550,,,,,,,,,,,20240808140100.0,,,,,
Kensington,3031,,,,,,,,,,20240617035623.0,,,20250318231948.0,,,
Kerang East,3579,,,,,,,,,,20240618015648.0,,,,,,
Kernot,3979,,,,,,,,,20240419151024.0,,,,,,,
Kew,3101,,20220516142027.0,,,,,,,,,,,,20250503084149.0,,
Kew East,3102,,,,,,,,,,20240718071758.0,,,,20250519043601.0,,
Keysborough,3173,,20220525140909.0,,,,,,,,,20240803170111.0,,,20250715081730.0,,
Kialla,3631,,,,,,,,,,20240625042744.0,,,,,20250813220747.0,
Kialla East,3631,,,,,,,,,,20240615040605.0,,,,,20250806113802.0,
Kilmore,3764,,,,,,,,,,,,,,20250521074808.0,,
Kilsyth,3137,,,,,,,,20231208104108.0,,,,,20250306023653.0,20250602115519.0,,
Kinglake,3763,,20220626181906.0,,,,,,,,,,,,,,
Kings Park,3021,,,,,,,,,,,,20250115133357.0,,,,
Kingsbury,3083,,,,,,,,,,,,,20250313234851.0,,,
Kingston,3364,,,,,,,,,,,,,20250319125039.0,,,
Kirkstall,3283,,,,,,,,,,,,20241202171215.0,,,,
Knoxfield,3180,,,,,,,,,,,,,20250325030948.0,,,
Kolora,3265,,,,,,,,,,,,,20250215193519.0,,,
Kongwak,3951,,,,,,,,,,20240714114016.0,,,,,,
Koonwarra,3954,,,,,,,,,,,,,,20250522124031.0,,
Kooroocheang,3364,,,,,,,,,,,,,20250212165235.0,,,
Kooyong,3144,,,,,,,,,,,20241014092740.0,,,,,
Krowera,3945,,,,,,,,,,,,,,,20250812062448.0,
Kurunjang,3337,,20220521191001.0,,,,,,,,,,,,,,
