suburb,postcode,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4
Kyneton,3444,,,,,,,,,,,,20250119132333.0,20250201114924.0,,,
Lake Gardens,3355,,20220522211429.0,,,,,,,,,20241004215047.0,,,,,
Lake Wendouree,3350,,,,,,,,,,,,,20250419025203.0,,,
Lakes Entrance,3909,,20220629214220.0,,,,,,,,,,,,,,
Lalor,3075,,20220702084710.0,,,,,,,,,,20250124034926.0,,,,
Lancefield,3435,,,,,,,,,,,,,,20250618205217.0,,
Landsborough,3384,,,,,,,,,,,,,,20250716062056.0,,
Langwarrin,3910,,,,,,,,,,20240615003809.0,,,,20250623120010.0,,
Langwarrin South,3911,,,,,,,,,,,,20250115130959.0,,,,
Lara,3212,,20220625082250.0,,,,,,,,,,,20250211033741.0,,,
Laverton,3028,,20220520120953.0,,,,,,,20240207120940.0,,,,,,,
Laverton North,3026,,20220703203017.0,,,,,,,,,,,,,,
Lawrence,3364,,,,,,,,,,,,,20250327064432.0,,,
Lemnos,3631,,,,,,,,,,20240524122854.0,,,20250424024646.0,,,
Leopold,3224,,20220629164919.0,,,,,,,,,,,,,,
Lethbridge,3332,,,,,,,,,,,,,,20250711050948.0,,
Lillico,3820,,,,,,,,,,,20240807164114.0,,,,,
Lilliput,3682,,,,,,,,,,,,,20250320014207.0,,,
Lilydale,3140,,20220525091437.0,,,,,,,,,,,20250216044108.0,20250602115422.0,,
Little Desert,3418,,,,,,,,,,,,,,20250522200435.0,,
Long Forest,3340,,,,,,,,,,20240717152902.0,,,,,,
Longford,3851,,,,,,,,,,,,,,20250516184713.0,,
Longwood,3665,,,,,,,,,20240301053857.0,,,,,,,
Lower Norton,3401,,,,,,,,,,,,,20250210070207.0,,,
Lysterfield South,3156,,,,,,,,,,,,,,,,
Macleod,3085,,20220625192825.0,,,,,,,,,,,,20250524092352.0,,
Maddingley,3340,,,,,,,,,,,20241008112200.0,,20250201115021.0,,,
Maiden Gully,3551,,,20220818162556.0,,,,,,,,20240909043034.0,,,,,
Maidstone,3012,,,,,,,,,20240416174351.0,,,,20250212080412.0,,,
Majorca,3465,,,,,,,,,,,,,,20250622155138.0,,
Maldon,3463,,,,,,,,,,,,,20250426082440.0,,,
Malvern,3144,,,,,,,,,20240413193539.0,,,,20250428100921.0,20250502193041.0,20250906161750.0,
Malvern East,3145,,,20220810081549.0,,,,,,,,,,,,,
Mannerim,3222,,,,,,,,,20240302143622.0,,,,,,,
Mansfield,3722,,20220625174946.0,,,,,,,,,,,,,,
Marcus Hill,3222,,,,,,,,,,20240520222241.0,,,,20250624050912.0,,
Mardan,3953,,,,,,,,,,,,,,20250522173452.0,,
Marengo,3233,,20220701194643.0,,,,,,,,,,,,,,
Maribyrnong,3032,,,,,,,,,,,,,20250328065308.0,,,
Marong,3515,,,,,,,,,,,,,20250321174145.0,,,
Marysville,3779,,,,,,,,,20240224225709.0,,,,,,,
Mckenzie Hill,3451,,,,,,,,,,20240518071828.0,,,,20250708031727.0,,
Mckinnon,3204,,,,,,,,,,,,20241213121247.0,,,,
Mcmillans,3568,,,,,,,,,,20240625061847.0,,,,,,
Meadow Creek,3678,,,,,,,,,,,,,20250417213136.0,,,
Meeniyan,3956,,,,,,,,,,,,,20250212001616.0,,,
Melbourne,3000,20220301231003.0,20220603104759.0,20220906005651.0,20221206164621.0,20230307021420.0,20230602091941.0,20230901131901.0,20231202191126.0,20240312033007.0,20240606234305.0,20240902044028.0,20241216012659.0,20250305195848.0,20250605104352.0,20250805143502.0,
Melbourne,3004,,,20220814221353.0,,,,,,20240423052712.0,,,20241215191904.0,20250325031239.0,20250628064527.0,,
Melton,3337,,,,,,,,,,,20240918080351.0,,,,20250808111147.0,
Melton South,3338,,20220519130457.0,,,,,,,,,,20241209082445.0,,,,
Melton West,3337,,20220626083935.0,,,,,,,,,,,,,,
Melville Forest,3315,,,,,,,,,,,,,20250316090721.0,,,
Mentone,3194,,20220630230809.0,,,,,,,,,,20241207090335.0,,,20250830134557.0,
Meredith,3333,,,,,,,,,,20240713175919.0,,,,,,
Mernda,3754,,,,,,,,,,,,,,,20250831094741.0,
Merricks,3916,,,,,,,,,,,,,,20250715155624.0,,
Merrigum,3618,,,,,,,,,20240226214531.0,,,,,,,
Merrimu,3340,,,,,,,,,,,20240810112834.0,,,,20250805053707.0,
Metung,3904,,,,,,,,,,,,,,20250513191813.0,,
Mickleham,3064,,,,,,,,,,,,,20250201114320.0,,,
Middle Park,3206,,,,,,,,,,20240719152605.0,,,,20250613174717.0,,
Middle Tarwin,3956,,,,,,,,,,,,,20250217042822.0,,,
Miepoll,3666,,,,,,,,,20240415213852.0,,,,,,,
Miga Lake,3409,,,,,,,,,,,,,,20250715081229.0,,
Milawa,3678,,,,,,,,,20240226220009.0,,,,20250208195812.0,,,
Mildura,3500,,20220527024955.0,,,,,,,,,,20241208062417.0,,,,
Mill Park,3082,,20220519064917.0,,,,,,,,,,,,20250715195501.0,,
Miners Rest,3352,,,,,,,,,,20240524194357.0,,,,20250516144232.0,,
Mirboo North,3871,,20220625041737.0,,,,,,,,,,,,,,
Mitcham,3132,,,,,,,,,,,,20250123012759.0,,,,
Mitre,3409,,,,,,,,,,,,,,20250519201624.0,,
Mitta Mitta,3701,,,,,,,,,,,,,,20250616130913.0,,
Mockinya,3401,,,,,,,,,,,,,20250319123210.0,,,
Moe,3825,,20220630130854.0,,,,,,,,,,,,,,
Moe South,3825,,,,,,,,,,,,,,20250712092939.0,,
Mont Albert,3127,,,,,,,,,,,,,,,,
Mont Albert North,3129,,,20220819053423.0,,,,,,,,,,20250410185602.0,,,
Montmorency,3094,,20220524125944.0,,,,,,,,,,,,,,
Montrose,3765,,20220520234047.0,,,,,,,,,,,,,,
Moonee Ponds,3039,,20220625044957.0,,,,,,,20240425013120.0,,,,20250209175247.0,20250703130031.0,,
Moorabbin,3189,,,20220818072046.0,,,,,,,,,20250121052138.0,,,,
Mooralla,3314,,,,,,,,,,,20241003235613.0,,,,,
Moorooduc,3933,,,,,,,,,,20240619013237.0,,,,20250717040842.0,,
Mooroopna,3629,,,,,,,,,20240419152456.0,,,,,20250720003749.0,,
Mordialloc,3195,,,,,,,,,,,20240803171957.0,20241112032408.0,,20250725082204.0,,
Mornington,3931,,20220625133335.0,,,,,,,,,,20250122172835.0,20250306023828.0,,,
Mount Buffalo,3740,,,,,,,,,,,,,,20250522200200.0,,
Mount Bute,3324,,,,,,,,,,,,,,20250717024721.0,,
Mount Cameron,3370,,,,,,,,,,,,,,20250513154139.0,,
Mount Clear,3350,,,,,,,,,,20240620124638.0,,,,20250512094856.0,,
Mount Eccles,3953,,,,,,,,,,,,,,20250522161935.0,,
Mount Eliza,3930,,,,,,,,,,,,20241212223124.0,,,,
Mount Evelyn,3796,,,,,,,,,20240413101346.0,,,,,20250621181220.0,,
Mount Macedon,3441,,,,,,,,,20240226104133.0,,,,,,,
Mount Martha,3934,,,20220810091310.0,,,,,,,,,,,,,
Mount Pleasant,3350,,,,,,,,,,,,,,20250620231110.0,,
Mount Rowan,3352,,,,,,,,,,20240618015320.0,,,,,,
Mount Waverley,3149,,,,,,,,,,,,,20250210003943.0,,,
Mudgegonga,3737,,,,,,,,,,,,,,20250516075615.0,,
Mulgrave,3170,,20220705193414.0,,,,,,,,,20240809161213.0,,20250429085817.0,20250616081618.0,,
Mumbannar,3304,,,,,,,,,20240227191051.0,,,,,,,
Murchison,3610,,20220705004529.0,,,,,,,,,,,,,,
Murmungee,3747,,,,,,,,,,,20240809024118.0,,,,,
Murrawee,3586,,,,,,,,,20240224070857.0,,,,,,,
Nangiloc,3494,,,,,,,,,,,,,,20250622125113.0,,
Nar Nar Goon North,3812,,,,,,,,,,,,,,,,
Nareen,3315,,,,,,,,,,,,,,20250515063137.0,,
Naringal,3277,,,,,,,,,,,,,20250215062019.0,,,
Narre Warren,3805,,20220703052330.0,,,,,,,,,20240807024731.0,,,20250719120804.0,,
Narre Warren East,3804,,,,,,,,,20240304075542.0,,,,,,,
Narre Warren North,3804,,,,,,,,,,,,,,20250515134107.0,,
Narre Warren South,3805,,,,,,,,,,20240528200715.0,,,20250219115814.0,,,
Natimuk,3409,,,,,,,,,,,20240807161741.0,,,,,
Navigators,3352,,,,,,,,,,,20240808071224.0,,,,,
Neerim South,3831,,,,,,,,,,,,,,20250720134117.0,,
Nerrena,3953,,,,,,,,,,,,,20250427080207.0,,,
Newborough,3825,,,,,,,,,,,,,20250217082211.0,,,
Newlands Arm,3875,,20220516230704.0,,,,,,,,,,,20250321074336.0,,,
Newmerella,3886,,,,,,,,,,20240719120750.0,,,,20250517215817.0,,
Newport,3015,,20220526151345.0,,,,,,,,20240716071306.0,,,,20250618124750.0,,
Newtown,3220,,,,,,,,,,,,,,20250706041634.0,,
Newtown,3351,,,,,,,,,,,,20250122044143.0,,,,
Nicholson,3882,,,,,,,,,20240302201247.0,,,,20250326220625.0,,,
Nilma,3821,,,,,,,,,,,20240804232650.0,,,20250715095809.0,,
Noble Park,3174,,20220522173541.0,,,,,,,,,,,,,20250802055828.0,
Noorat East,3265,,,,,,,,,,,,20241214204652.0,,,,
Noradjuha,3409,,,,,,,,,,,,,20250327065119.0,,,
Norlane,3214,,20220523145205.0,,,,,,,,,,,,,,
North Geelong,3215,,,,,,,,,,20240518165748.0,,,20250426020826.0,,,
North Melbourne,3051,,,,,,,,,20240226110116.0,20240604213516.0,,,20250207091135.0,20250514014827.0,,
North Wangaratta,3678,,,,,,,,,,,20241003224821.0,,,,,
Northcote,3070,,20220628183152.0,,,,,,,,,,,,,,
Notting Hill,3168,,,,,,,,,,20240527012255.0,,,20250219031020.0,,,
Nowa Nowa,3887,,,,,,,,,,,,20241112235250.0,,,,
Nug Nug,3737,,,,,,,,,20240221050000.0,,,,,,,
Numurkah,3636,,,,,,,,,,,,,,20250720040117.0,,
Nunawading,3131,,,20220811110753.0,,,,,,,,,,,,,
Nurcoung,3401,,,,,,,,,20240226195523.0,,,20250113090850.0,,,,
Nurrabiel,3401,,,,,,,,,,,,20250117021737.0,,,,
Oak Park,3046,,,,,,,,,,,20241004165522.0,,,,,
Oakleigh,3166,,20220524144609.0,,,,,,,,20240616235419.0,,,20250307003542.0,,,
Oakleigh East,3166,,,,,,,,,,,,,20250217180550.0,,,
Oakleigh South,3167,,,,,,,,,,,20241006070515.0,,,,,
Olinda,3788,,,,,,,,,,,,,20250420052846.0,,,
Ondit,3249,,,,,,,,,,,,,,,,
Orrvale,3631,,,,,,,,,,,20240913221309.0,,,,,
Pakenham,3810,,20220520121809.0,,,,,,,,,,,20250210205751.0,,,
Pakenham Upper,3810,,,,,,,,,,20240521044811.0,,,,20250711125919.0,,
Panmure,3265,,,,,,,,,,,,20250124131630.0,,,,
Parkdale,3195,,20220523151831.0,,,,,,,,,,,,,,
Parkville,3052,,,20220816232009.0,,,,,,,,,,20250317160302.0,,,
Parwan,3340,,,,,,,,,,,20240910182513.0,,,,,
Paschendale,3315,,,,,,,,,20240304071152.0,,,,,,,
Pascoe Vale,3044,,20220702195858.0,,,,,,,,,,,20250228035128.0,,,
Patho,3564,,,,,,,,,,20240518011108.0,,,,,,
Patterson Lakes,3197,,,,,,,,,,20240517234927.0,,,,20250712184924.0,,
Paynesville,3880,,20220521062240.0,,,,,,,,20240724093729.0,,,,20250623040657.0,,
Pearcedale,3912,,,,,,,,,,20240612141612.0,,,,20250618201939.0,,
Pearsondale,3851,,,,,,,,,,,,,,,20250812055537.0,
Peronne,3413,,,,,,,,,,,,,,,20250812092429.0,
Peterborough,3270,,,,,,,,20231203042502.0,,,,20241206045456.0,,,,
Pioneer Bay,3984,,20220528074800.0,,,,,,,,,20241012033344.0,,,,20250809161200.0,
Point Cook,3030,,,,,,,,,,,,,20250404011117.0,20250711033339.0,,
Point Lonsdale,3225,,,,,,,,,,,,,20250214212353.0,,,
Porepunkah,3740,,,,,,,,,,,,,20250212001128.0,,,
Port Campbell,3269,,20220521084830.0,,,,,,,,,,,,,,
Port Fairy,3284,,20220629195428.0,,,,,,,,,20240813063441.0,,,,,
Port Melbourne,3207,,,20220818082610.0,,,,,,,,,20250121224957.0,,,,
Portarlington,3223,,20220523092555.0,,,,,,,,,,,,,,
Portland,3305,,20220521034717.0,,,,,,,,,,,,,,
Prahran,3181,,,20220808223007.0,,,,,,,,,,20250316063147.0,20250624031821.0,20250905054958.0,
Preston,3072,,20220625023723.0,,,,,,,,,20240911205841.0,,,,20250813233817.0,
Preston South,3072,,,,,,,,,,,20240812104147.0,,,,,
Preston West,3072,,,,,,,,,,,,,20250428101427.0,,,
Purnim,3278,,,,,,,,,,,,,20250215065828.0,,,
Queenscliff,3225,,,,,,,,,,,,20250126113239.0,,,,
Ravenhall,3023,,20220525064622.0,,,,,,,,20240527185346.0,,,20250408073536.0,20250625021655.0,,
Red Cliffs,3496,,,,,,,,,,,,20241208222135.0,,,,
Red Hill,3937,,,,,,,,,,20240522053642.0,,,20250427013018.0,,,
Red Hill South,3937,,,,,,,,,,20240624092438.0,,,,20250625075030.0,,
Redan,3350,,,,,,,,,,20240522084600.0,,,,20250621212412.0,,
Redcastle,3523,,,,,,,,,,,,,,,,
Regent West,3072,,,,,,,,,,,,,,20250716025627.0,,
Reservoir,3073,,,,,,,,,,20240715120129.0,,,,20250519214036.0,,
Richmond,3121,,20220525231626.0,,,,,,,,20240723062105.0,,,20250320235656.0,20250701041510.0,,
Ringwood,3134,,20220525080521.0,,,,,,20231208071325.0,,,20240912201217.0,,,,,
Ripponlea,3185,,,,,,,,,,,,20250123082704.0,,,,
Rockbank,3335,,20220516211900.0,,,,,,,,,,,,20250618142238.0,,
Rosanna,3084,,,,,,,,,,,,,,20250515073458.0,,
Rosebud,3939,,20220628183228.0,,,,,,,,,,,20250215004338.0,,,
Rowville,3178,,,,,20230323045402.0,,,,,,,20241208012258.0,,,,
Ruffy,3666,,,,,,,,,,,,,20250319115826.0,,,
Running Creek,3691,,,,,,,,,,,,,,20250519210440.0,,
Rushworth,3612,,,,,,,,,,,,,,20250619003829.0,,
Rutherglen,3685,,,,,,,,,,,,,,,20250810043753.0,
Safety Beach,3936,,,20220812190717.0,,,,,,,,,,20250324071939.0,,,
Sale,3850,,,,,,20230524201811.0,,,,,,,,,,
Sandringham,3191,,20220703015930.0,,,,,,,,,20240910195935.0,20250121035309.0,,,,
Sarsfield,3875,,,,,,,,,,20240529090714.0,,,,,,
Sassafras,3787,,,,,,,,,,,,20250115124024.0,,,,
Scarsdale,3351,,,,,,,,,20240224232151.0,,,,,,,
Scoresby,3179,,20220526085907.0,,,,,,,,,,,,,,
Scotsburn,3352,,,,,,,,,,,,,,20250622142316.0,,
Scotts Creek,3267,,,,,,,,,,,,,,20250709220016.0,,
Seaford,3198,,,,,,,,,,,,,20250208042316.0,,,
Seaholme,3018,,,,,,,,,,,,,,,20250826003734.0,
Seaspray,3851,,,20220818052723.0,,,,,,,,,,,,,
Seville,3139,,,,,,,,,,,,,,,20250813013117.0,
She Oaks,3331,,,,,,,,,,20240622041044.0,,,,20250708192925.0,,
Shepparton,3630,,,,,,,,,20240302133739.0,,,20241112061724.0,20250301000117.0,20250726092747.0,,
Shepparton East,3631,,,,,,,,,,20240527223252.0,,,,,,
Shoreham,3916,,,,,,,,,,,,20241203074712.0,,,,
Simpson,3266,,,,,,,,,,20240530223336.0,,,20250415071339.0,20250711162855.0,,
Skibo,3260,,,,,,,,,,,,,20250320171231.0,,,
Skye,3977,,,,,,,,,,,,20250113023245.0,,,,
Smeaton,3364,,,,,,,,,,,,20250117020657.0,,,,
Smoko,3741,,,,,,,,,20240227213118.0,,,,20250417215055.0,,,
Smythes Creek,3351,,,,,,,,,,20240529074725.0,,,,20250612150332.0,,
Snake Valley,3351,,,,,,,,,,20240527221410.0,,,,,,
Soldiers Hill,3350,,,,,,,,,,20240622153242.0,,,20250418100926.0,,,
Somerville,3912,,,,,,,,,,,20240908103645.0,20250121035306.0,,20250621181502.0,,
Sorrento,3943,,,,,,,,,,,,,20250424162745.0,,,
South Dudley,3995,,,,,,,,,,,20240813150446.0,,,,20250805231513.0,
South Geelong,3220,,,,,,,,,,,,,,20250706041634.0,,
South Kingsville,3015,,20220520230619.0,,,,,,,,,,,,,,
South Melbourne,3205,,20220629025219.0,,,,,,,20240227124024.0,,,20250115080859.0,20250317033012.0,20250724055031.0,,
South Morang,3752,,20220521225321.0,,,,,,,,20240717144545.0,20240919095952.0,,,,,
South Yarra,3141,,20220525185106.0,,,,,,,,,,20250114153241.0,20250321000853.0,20250718201111.0,,
Southbank,3006,,20220629090916.0,,,,20230509082522.0,,,,,,,20250420185517.0,,,
Spotswood,3015,,20220521162153.0,,,,,,,,,20241015101814.0,,20250422103432.0,,,
Springhurst,3682,,,,,,,,,20240226195046.0,,,,,,,
Springvale,3171,,,,,,,,,,20240518010921.0,,,20250217061711.0,,20250804231519.0,
St Albans,3021,,,20220818143011.0,,,,,,,,,20250116132923.0,,,,
St Helena,3088,,,,,,,,,,20240520225457.0,,,,,,
St Kilda,3182,,,,,,,,,,20240520032654.0,,,20250327180851.0,20250518083659.0,20250908054248.0,
St Kilda East,3183,,,,,,,,20231202221558.0,,,,20241106120827.0,,,20250905115951.0,
St Kilda West,3182,,20220625101955.0,,,,,,,,,,,20250216180527.0,,,
Stavely,3379,,,,,,,,,,,,,20250419060238.0,,,
Steels Creek,3775,,,,,,,,,,,20240908022958.0,,,,,
Stony Creek,3371,,,,,,,,,,,,,,20250522203007.0,,
Stony Creek,3957,,,,,,,,,,,,,20250424134731.0,,,
Stratford,3862,,,,,,,,,,,20240921023256.0,,,,,
Strathfieldsaye,3551,,,,,,,,,,,,20250110081337.0,,,,
Strathlea,3364,,,,,,,,,,,,,,20250616200159.0,,
Strathmore,3041,,,,,,,,,,,20240813153639.0,,20250427024602.0,,,
Strathmore Heights,3041,,,,,,,,,,20240619033545.0,,,,20250708050010.0,,
Sulky,3352,,,20220818101702.0,,,,,,,,,,,,,
Sunbury,3429,,20220625102149.0,,,,,,,,,20240918173957.0,,20250201115324.0,,,
Sunshine,3020,,,,,,,,,,,,,20250215162159.0,20250713082457.0,20250811034711.0,
Sunshine North,3020,,,,,,,,,,,,20241228033130.0,20250218053421.0,,,
Surrey Hills,3127,,,,,,,,,,20240521104722.0,,,20250415120752.0,20250524164242.0,,
Swan Bay,3225,,,,,,,,,,,,,20250426174343.0,,,
Swan Hill,3585,,,,,,,,,,,,,,20250720005623.0,,
Sydenham,3037,,,,,,,,,,,20240808005843.0,,,20250623124703.0,,
Tahara Bridge,3315,,,,,,,,,,,,,20250322145223.0,,,
Talgarno,3691,,,,,,,,,20240302174533.0,,,,20250425131503.0,,,
Tallandoon,3701,,,,,,,,,,,,,,20250612164720.0,,
Tallangatta,3700,,,,,,,,,,,,,,20250622141759.0,,
Tallangatta South,3701,,,,,,,,,,,,,,20250708045627.0,,
Tamleugh,3669,,,,,,,,,,20240723144259.0,,,,,20250809220544.0,
Tamleugh North,3669,,,,,,,,,,,20240806133624.0,,,,,
Tandarook,3260,,,,,,,,,,,20241010162443.0,,,,,
Tangambalanga,3691,,,,,,,,,,,20240814070723.0,,,,20250810073035.0,
Tarneit,3029,,20220629190413.0,,,,,,,,,,20241201202235.0,,,,
Tarraville,3971,,,,,,,,,20240419150056.0,,,,,,,
Tarrawingee,3678,,,,,,,,,,,,,20250318144215.0,,,
Tarrington,3301,,,,,,,,,,,,,20250317174541.0,,,
Tarwin Lower,3956,,,,,,,,,,,,,,,20250812095945.0,
Tawonga,3697,,,,,,,,,20240224224334.0,,,,,,,
Taylors Hill,3037,,20220701210028.0,,,,,,,,,,,,,,
Taylors Lakes,3038,,,,,,,,,,,20241015122233.0,,,20250716115641.0,,
Tecoma,3160,,20220517013133.0,,,,,,,,,,,,,,
Telangatuk East,3401,,,,,,,,,,,,,20250321041701.0,,,
Templestowe Lower,3107,,20220628084813.0,,,,,,,,,,20241105123337.0,,,,
The Honeysuckles,3851,,,,,,,,,,,,20250114001407.0,,,,
Thomastown,3074,,20220626053434.0,,,,,,,,20240723182556.0,,,20250423182637.0,,,
Thornbury,3071,,20220516164039.0,,,,,,,,,,20250115225610.0,,,20250901230117.0,
Tooan,3409,,,,,,,,,,,,,20250324140100.0,,,
Toolondo,3401,,,,,,,,,,,,,20250216210651.0,,,
Toorak,3142,,20220705011212.0,,,,,,,20240425084401.0,,,,20250424174232.0,20250520171527.0,20250813110528.0,
Tootgarook,3941,,,,,,,,,20240302195322.0,,,,,20250710205316.0,,
Torquay,3228,,20220523155415.0,,,,,,,,,,,,,,
Torrumbarry,3562,,,,,,,,,20240423004102.0,,,,,,20250806045852.0,
Tourello,3363,,,,,,,,,,,,,,20250522171459.0,,
Trafalgar East,3824,,,,,,,,,,,,,20250323112655.0,,,
Traralgon,3844,,20220627214637.0,,,,,,,,,,,,,,
Traralgon East,3844,,,,,,,,,,,,,,20250612153154.0,,
Travancore,3032,,,,,,,,,20240221052109.0,,,,20250418234507.0,,,
Trentham,3458,,,20220819061027.0,,,,,,,,,,,,,
Truganina,3029,,20220518012557.0,,,20230323035139.0,,,,20240303032902.0,,,,20250219061211.0,,,
Tubbut,3888,,,,,,,,,20240304104241.0,,,,20250423042813.0,,,
Tullamarine,3043,,20220526205842.0,,,,,,,20240222080117.0,,,20241207212324.0,20250219230211.0,20250724055021.0,,
Ullina,3370,,,,,,,,,,,,,20250316095522.0,,,
Ulupna,3641,,,,,,,,,,,,,,20250713023946.0,,
Upper Ferntree Gully,3156,,,,,,,,,,20240518203816.0,,,20250319003522.0,,,
Vectis,3401,,,,,,,,,,,,,,20250710111037.0,,
Vermont,3133,,,20220813122635.0,,,,,,,,,,20250325123849.0,,,
Vermont South,3133,,,,,,,,,,,,20241110044150.0,,,,
Victoria Point,3294,,,,,,,,,,,,20241204003203.0,,,,
Victoria Valley,3294,,,,,,,,,,,,20250125025633.0,,,,
Viewbank,3084,,20220526080305.0,,,,,,,,,,,,,,
Violet Town,3669,,20220704150136.0,,,,,,,,,,,,,,
Vite Vite,3325,,,,,,,,,20240226020316.0,,,,,,,
Wairewa,3887,,,,,,,,,,,,,,20250716025434.0,,
Walmer,3463,,,,,,,,,,,,,,20250619101617.0,,
Wandiligong,3744,,,,,,,,,,,,,20250214061058.0,,,
Wandin North,3139,,,,,,,,,,20240715235603.0,,,,,20250806153828.0,
Wangaratta,3677,,,,,,,,,,,,,20250220114640.0,,,
Wannon,3301,,,,,,,,,,,20241012162711.0,,,,,
Wantirna,3152,,,20220816071332.0,,,,,,,,,,,,,
Wantirna South,3152,,20220517105332.0,,,,,,,,,,,,20250524221149.0,,
Warracknabeal,3393,,,,,,,,,,,,,,20250715203011.0,,
Warragul,3820,,,,,,,,,,20240612223619.0,,,,20250707075743.0,,
Warrandyte,3113,,,,,,,,,20240422153612.0,,,,,20250711092310.0,,
Warrnambool,3280,,,20220815165638.0,,,,,,,,,,,,20250818002650.0,
Watchem West,3482,,,20220923133017.0,,,,,,,,,,,,,
Waterways,3195,,,,,,,,,,,20240805121742.0,,,20250621230756.0,,
Weeaproinah,3237,,,,,,,,,20240222205204.0,,,,,,,
Wendouree,3355,,20220629042525.0,,,,,,,,,,,,,,
Werona,3364,,,,,,,,,,,,,20250316092836.0,,,
Werribee South,3030,,,,,,,,,,,20240815094306.0,,,20250619100230.0,,
West Footscray,3012,,20220520194126.0,,,,,,,,,,20241212223543.0,,20250625113049.0,,
West Melbourne,3003,,,,,,,,,20240303145025.0,,,,20250404230141.0,,,
West Wodonga,3690,,,,,,,,20231207201749.0,,,,,20250322091758.0,,,
Westmeadows,3049,,,,,,,,,,20240715194748.0,,,,20250524181949.0,,
Wheelers Hill,3150,,20220625105750.0,,,,,,,,,,20241213090908.0,,,,
White Hills,3550,,,,,,,,,20240415184424.0,,,,20250418070718.0,,,
Whitelaw,3950,,,,,,,,,,,20240919234857.0,,,,,
Whorouly South,3735,,,,,,,,,,,,,,20250713022122.0,,
Wildwood,3429,,,,,,,,,,,20240804183324.0,,,,,
Willaura,3379,,,,,,,,,,,,,,,,
Williams Landing,3027,,,,,20230324065413.0,,,,,,,,,,,
Willung South,3847,,,,,,,,,,,,,,20250612164854.0,,
Windsor,3181,,20220625012520.0,,,,,,,,,,,20250319222453.0,20250720054935.0,20250904081253.0,
Wodonga,3690,,20220704235725.0,,,,,,20231217020703.0,20240422090358.0,,,,20250218152508.0,,20250909124815.0,
Wollert,3750,,,20220812030736.0,,,,,,,,,,,,,
Wonga Park,3115,,,,,,,,,,,,20250113224944.0,,,,
Wonthaggi,3995,,,,,,,,,,20240622201838.0,,,,20250622220630.0,,
Wonwondah,3401,,,,,,,,,,,,,20250322032824.0,,,
Woodend,3442,,,,,,,,,,20240613000223.0,,,20250419202845.0,20250626062249.0,,
Woodstock,3751,,,,,,,,,20240302074356.0,,,,20250325033800.0,,,
Wootong Vale,3315,,,,,,,,,,,,20241210083020.0,,,,
Wuk Wuk,3875,,,,,,,,,,,,,,20250713020642.0,,
Wyndham Vale,3024,,,,,,,,,,,,,,20250615081250.0,,
Yallourn,3825,,,,,,,,,,,,,,20250710115134.0,,
Yalmy,3885,,,,,,,,,,,,,,20250717164332.0,,
Yandoit Hills,3461,,,,,,,,,,,,,20250425230335.0,,,
Yarragon,3823,,,,,,,,,,20240720042741.0,,,,20250623230200.0,,
Yarraville,3013,,,,,,,,,,,,,20250212211413.0,,,
Yarrawonga,3730,,20220519194915.0,,,,,,,,,,,,,,
Yelta,3505,,,,,,,,,,,,,20250425211055.0,,,
